,Time,Sim1,Sim2,Sim3
8433,,What We Feel,ILWT,RasKar
8434,2002 – present (20 years),Двадцатые,Mister X,Razor Bois
8435,,2К,The Crhyme Scene,Больше Серого
8436,,Паук,Áàñòà,ST feat Баста
8437,,10-side,Диета!,Брол
8438,,Диета!,2К,L.C.L.
8439,,Sans Pression,Limoilou Starz,Dany Dan
8440,,Military Clan,L'Acoustique,Злой Дух
8441,2006 – 2010 (4 years),Colour of Fire,Sky Larkin,This Et Al
8442,,THE JAKPOT,goFASTER>>,Pint Shot Riot
8443,,Juno B-Sides: Almost Adopted Songs,Fred Flare,Garden State Soundtrack
8444,2007 – 2013 (6 years),Innocens,Magion,Niobeth
8445,6 August 1994 (age 28),Xandria,Leaves' Eyes,Mortal Love
8446,7 June 1984 (age 38),Dark Moor,Firewind,Nocturnal Rites
8447,2003 – present (19 years),Elysion,Xandria,Nemesea
8448,17 November 1972 (age 50),The Moldy Peaches,Antsy Pants,Barry Louis Polisar
8449,25 May 1970 (age 52),EA Games Soundtrack,Inon Zur,Raney Shockne
8450,,지연,After School,Kara
8451,,박건형,신영숙,Hong Kwang Ho
8452,2008 – present (14 years),Gummy,Yoon Mirae,K.Will
8453,29 March 1988 (age 34),Jennifer Warnes,Eva Cassidy,Susan Wong
8454,,DJ Douggpound,The Whitest Kids U' Know,Santa's Brother
8455,1995 – 2003 (8 years),Shed Seven,The Bluetones,Longpigs
8456,4 March 1972 (age 50),Sage Francis,Cadence Weapon,Themselves
8457,1999 – present (23 years),Gazpacho,Steven Wilson,Riverside
8458,1998 – 2007 (9 years),The Music,Idlewild,JJ72
8459,1991 – present (31 years),Beardfish,Änglagård,Wobbler
8460,2002 – present (20 years),Cult of Luna,Rosetta,Latitudes
8461,,ADX,Sortilège,Grinder
8462,1988 – present (34 years),The Wonder Stuff,Carter the Unstoppable Sex Machine,James
8463,1999 – present (23 years),Soulrelic,Reflexion,Urban Tales
8464,1984 – 2004 (20 years),The Mission,Fields of the Nephilim,Ghost Dance
8465,,Goth Acoustic Ensemble,Dark One,Section
8466,2003 – 2010 (6 years),Engelsblut,Soul in Sadness,e:o:nity
8467,,Fields of the Nephilim,The Sisters of Mercy,Gene Loves Jezebel
8468,,DJ Chiller Vs. Big Ed,Fredco's Demon,Fixer Version
8469,18 August 1957 (age 65),梅林茂,James Horner,Marc Streitenfeld
8470,1995 – present (27 years),Fluke,The Wiseguys,The Crystal Method
8471,1988 – present (34 years),Chapterhouse,Swervedriver,Pale Saints
8472,1976 – present (46 years),Young Marble Giants,The Monochrome Set,Orange Juice
8473,2007 – present (15 years),CHVRCHES,Passion Pit,St. Lucia
8474,2005 – present (17 years),Miami Horror,The Presets,Cut Copy
8475,2003 – present (19 years),Chromatics,School of Seven Bells,Camera Obscura
8476,,Blood On the Wall,The Joggers,Oxford Collapse
8477,2008 – present (14 years),Washed Out,Toro y Moi,Cut Copy
8478,2002 – present (20 years),Cloudride,Monorev,Skywards
8479,1987 – 1994 (7 years),Pale Saints,Drop Nineteens,Ride
8480,2005 – present (17 years),Confide,Close To Home,No Bragging Rights
8481,2004 – 2013 (9 years),My Sky Your City,Tonight Is Glory,Paddock Park
8482,,Of Machines,Jamie's Elsewhere,A Bullet for Pretty Boy
8483,1956 (age 66),Guy Sweens,Oliver Shanti & Friends,Govi
8484,1995 – present (27 years),Canvas Solaris,Gordian Knot,Cynic
8485,,Dead Elephant,Laghetto,Lucertulas
8486,,Alarum,Continuo Renacer,Counter-World Experience
8487,1996 – present (26 years),Horcas,Magnos,Razones Concientes
8488,,Las Acevedo,Palenke Soultribe,Pavel Nuñez
8489,1998 – present (24 years),Canvas Solaris,Cynic,Exivious
8490,,Asphyx,Morbid Angel,Nocturnus
8491,1987 – present (35 years),Beto Cuevas,Lucybell,Enanitos Verdes
8492,8 September 1957 (age 65),Franco De Vita,Cristian Castro,Alejandro Fernández
8493,2014 – present (8 years),Irfan,Azam Ali,Niyaz
8494,,Lifelike,The New Division,Thomas Barrandon
8495,,Air France,The Tough Alliance,Ceo
8496,1984 (age 38),Autre Ne Veut,Holy Other,Majical Cloudz
8497,2007 – present (15 years),Soft Kill,Drab Majesty,The Soft Moon
8498,2008 – present (14 years),Delorean,Bibio,Lone
8499,2005 – present (17 years),Times New Viking,The Men,Japandroids
8500,1983 (age 39),Neon Indian,Small Black,Future Islands
8501,2002 – present (20 years),Pato Fu,Gram,Jay Vaquer
8502,1997 – present (25 years),Cachorro Grande,Ira!,Pato Fu
8503,17 April 1945 (age 77),Sérgio Sampaio,Amelinha,Belchior
8504,2003 – 2010 (7 years),Vivendo do Ócio,Selvagens À Procura de Lei,Vanguart
8505,8 May 1976 (age 46),Rufus Wainwright,Aimee Mann,Beth Orton
8506,2 September 1960 (age 62),Zeca Baleiro,Lenine,Chico César
8507,,Forgotten Boys,Faichecleres,Ecos Falsos
8508,26 October 1946,Ednardo,Fagner,Zé Ramalho
8509,17 December 1975 (age 46),Poe,Bat for Lashes,Tori Amos
8510,,Glen Hansard,The Swell Season,The Frames
8511,13 June 1986 (age 36),Eric Saade,Robin Bengtsson,Darin
8512,,Bill Ferguson,Stewart Lewis,Todd Hannigan
8513,18 August 1969 (age 53),House of Pain,Fun Lovin' Criminals,Кирпичи
8514,25 July 1976 (age 46),Diante do Trono,Heloisa Rosa,Morada
8515,2002 – 2015 (13 years),Pg,Trazendo a Arca,David Quinlan
8516,1997 – 2007 (10 years),Enhancer,Aqme,Mass Hysteria
8517,2004 – present (18 years),Elevation Worship,Chris Tomlin,Bethel Music
8518,1987 – present (35 years),Pg,Palavrantiga,Rodolfo Abrantes
8519,2006 – present (16 years),Derek Webb,Sean Watkins,Sandra McCracken
8520,2010 – present (12 years),Killswitch Engage,Light the Torch,All That Remains
8521,,Call To Preserve,Venia,Saints Never Surrender
8522,24 March 1973 (age 49),Davi Sacer,Gabriela Rocha,Preto no Branco
8523,,Bola de Neve Church,Tribo de Louvor,Dominic Balli
8524,,Clamor pelas Nações,FRED ARRAIS,Lucas Souza
8525,,Love and Death,Ill Niño,Flaw
8526,5 August 1965 (age 57),Yuka Kitamura,崎元仁,下村陽子
8527,2008 – present (14 years),Secondhand Serenade,SayWeCanFly,Alex & Sierra
8528,13 May 1966 (age 56),Billy Currington,Jake Owen,Dierks Bentley
8529,28 April 1964 (age 58),Masakazu Sugimori,木村明美,堀山俊彦
8530,,岩垂徳行,Masakazu Sugimori,堀山俊彦
8531,,Chef,The Simpsons,"""Weird Al"" Yankovic"
8532,27 September 1972 (age 50),Garrett Hedlund,Tim McGraw & Gwyneth Paltrow,Chris Young & Patty Loveless
8533,1967 – present (55 years),Styx,Foreigner,.38 Special
8534,,Magical Trick Society,"Noriyuki Iwadare, Yasuko Yamada",Metamorphosis Jazz Band
8535,24 December 1965 (age 56),Mafalda Veiga e João Pedro Pais,João Pedro Pais,André Sardet
8536,1 May 1967 (age 55),Chris Young & Patty Loveless,Gwyneth Paltrow,Garrett Hedlund
8537,,Cancer,Malevolent Creation,Grave
8538,1978 – 1982 (4 years),Charly García,Sui Generis,La Máquina de Hacer Pájaros
8539,,Radiohead,Serafin,Placebo & David Bowie
8540,23 May 1967 (age 55),Thom Yorke,Radiohead,Noah Yorke
8541,30 April 1981 (age 41),DeYarmond Edison,Bon Iver,Volcano Choir
8542,,Jónsi,Jónsi & Alex,Sigur Rós
8543,27 January 1944 (age 78),Nick Mason's Saucerful of Secrets,Richard Wright,Roger Waters
8544,6 April 1929,Симфонический оркестр Мариинского театра,Михаил Плетнёв,Anne-Sophie Mutter
8545,7 September 1987 (age 35),Jim Sturgess,Joe Anderson,Dana Fuchs
8546,9 July 1935,Atahualpa Yupanqui,Fito Páez,Soledad
8547,9 October 1940,John Lennon,Paul McCartney & Wings,Ringo Starr
8548,26 June 1972 (age 50),Bruno Pelletier,Hélène Ségara,Daniel Lavoie
8549,1990 – present (32 years),Kasia Kowalska,Edyta Górniak,Anita Lipnicka
8550,20 September 1978 (age 44),Il Volo,Alessandro Safina,Andrea Bocelli
8551,21 December 1979 (age 42),Kasia Kowalska,Sarsa,Ania Wyszkoni
8552,,Kombii,Video,Wilki
8553,1 November 1967 (age 55),Delta Goodrem,Vanessa Amorosi,Natalie Imbruglia
8554,1978 – present (44 years),Beata Kozidrak,Maanam,Kasia Kowalska
8555,2 August 1972 (age 50),Beata Kozidrak,Natalia Kukulska,Reni Jusis
8556,23 September 1969 (age 53),Bruno Pelletier,Daniel Lavoie,Luck Mervil
8557,5 October 1955 (age 67),Wojciech Kilar,Zbigniew Preisner,Jan A.P. Kaczmarek
8558,17 March 1980 (age 42),Edyta Górniak,Jula,Kayah
8559,,Zampano,Les Vieilles Salopes,Brigitte Bop
8560,,Zampano,Brigitte Bop,Pkrk
8561,2004 – present (18 years),Skip The Use,Les Fatals Picards,Noir Désir
8562,,Twinkle Twinkle Little Rock Star,Sweet Little Band,Sparrow Sleeps
8563,1983 – present (39 years),Les Sheriff,Bérurier Noir,Les Sales Majestés
8564,1996 – present (26 years),The Quireboys,Pretty Boy Floyd,Backyard Babies
8565,1991 – present (31 years),The Parlor Mob,Danko Jones,The Dirtbombs
8566,2004 – present (18 years),Anna Ternheim,Sophie Zelmani,Richard Cheese
8567,,Dj legend,Feesh,Angraecum
8568,9 May 1989 (age 33),Aperture Science Psychoacoustics Laboratory,Aphex Twin,Ben Prunty
8569,25 October 1975 (age 47),Klubbingman,Pulsedriver,Ziggy x
8570,,Dj Inphinity,Dj Mangoo,Deep Spirit
8571,,Chicane,Hybrid,Way Out West
8572,19 February 1977 (age 45),Buku,Liquid Stranger,Flux Pavilion
8573,1960 (age 62),DDR,DJ Caffeine,DJ Liquid
8574,31 May 1981 (age 41),Kaskade,3LAU,Nicky Romero
8575,,DJ Markski,DJ Caffeine,Dj MagiX
8576,,Mike Morasky,Joel Nielsen,Eric Brosius
8577,,Ashkan & Kooshan,Adesse Versions,Cape Cod
8578,,Amaral,Extremoduro,Marea
8579,17 July 1975 (age 47),Sash!,Alice Deejay,DJ Quicksilver
8580,8 December 1967 (age 55),Overseer,The Prodigy,Fluke
8581,2003 – present (19 years),Project Wyze,9Lives,Critical Bill
8582,,Teardrop,Ghostly Machines,BrainStorm Operations
8583,1968 – 1986 (18 years),Charly García,Andrés Calamaro,Fito Páez
8584,1968 – present (54 years),Uriah Heep,Slade,Rainbow
8585,1971 – present (51 years),Bachman-Turner Overdrive,Brownsville Station,Ted Nugent
8586,5 February 1974 (age 48),Lauri Tähkä,Kaija Koo,Suvi Teräsniska
8587,8 February 1990 (age 32),Reino Nordin,Roope Salminen & Koirat,Kasmir
8588,1977 – present (45 years),Pate Mustajärvi,Eppu Normaali,Juice Leskinen
8589,2007 – present (15 years),Athlete,A Silent Film,Joshua Radin
8590,14 March 1983 (age 39),Laura Marling,Fionn Regan,The Tallest Man on Earth
8591,,Five2,Nat Jay,Flashlight Radio
8592,4 February 1953 (age 69),Karunesh,Diane Arkenstone,Nicholas Gunn
8593,1953 – present (69 years),Pat Boone,Ricky Nelson,Johnnie Ray
8594,15 November 1915,Cuco Sanchez,Amalia Mendoza,Lucha Villa
8595,17 August 1939,Albert Collins,Otis Rush,Buddy Guy
8596,1953 – present (69 years),The Shirelles,Clyde McPhatter,The Four Tops
8597,,Connie Francis,Bobby Helms,Perry Como
8598,,Eric Clapton,B.B. King,J.J. Cale & Eric Clapton
8599,23 August 1945 (age 77),Gianni Morandi,Caterina Caselli,Domenico Modugno
8600,,London Symphony Orchestra,London Philharmonic Orchestra,Berliner Philharmoniker
8601,1 June 1934 (age 88),Johnnie Ray,The Platters,Eddie Fisher
8602,26 February 1928,Eddie Cochran,Little Richard,Carl Perkins
8603,18 April 1924,T-Bone Walker,Albert Collins,Fenton Robinson
8604,,Mary Flower,Roy Book Binder,Pat Donohue
8605,1 July 1915,Little Walter,Otis Rush,T-Bone Walker
8606,7 July 1943 (age 79),Pupo,Ricchi e poveri,Riccardo Fogli
8607,,Eddie Burns,Blind Boy Fuller & Sonny Terry,Carey & Lurrie Bell
8608,1 March 1927 (age 95),The Tokens,Pat Boone,Louis Prima
8609,,Peter Hahn/Soloists Of Marseille,Divertimento D-Dur,Günter Kehr/Mainz Chamber Orchestra
8610,1968 – present (54 years),Lionel Richie,The O'Jays,The Spinners
8611,31 January 1944 (age 78),Big Walter Horton,James Cotton,Buddy Guy
8612,20 December 1947 (age 74),Rita Pavone,Mina,Gianni Morandi
8613,1975 – present (47 years),Ricchi e poveri,Al Bano,Toto Cutugno
8614,11 December 1890,Roberto Goyeneche,Julio Sosa,Osvaldo Pugliese
8615,2 February 1926,Roberto Goyeneche,Carlos Gardel,Osvaldo Pugliese
8616,,The Tyde,The Heavy Blinkers,Chappaquiddick Skyline
8617,2 August 1984 (age 38),Lori Meyers,Love of Lesbian,Supersubmarina
8618,12 March 1925,Philippe Sarde,Jerry Goldsmith,Maurice Jarre
8619,19 February 1951 (age 71),Ilan Eshkeri,Michael Galasso,Abel Korzeniowski
8620,1996 – present (26 years),Paul Weller,Gruff Rhys,Doves
8621,1986 – present (36 years),The Wedding Present,Gene,The Field Mice
8622,2009 – present (13 years),Wild Nothing,DIIV,Craft Spells
8623,1 December 1979 (age 43),Chinoy,Coiffeur,Los Mil Jinetes
8624,1997 – present (25 years),Vetusta Morla,Supersubmarina,Lori Meyers
8625,2001 – present (21 years),Zenttric,Ragdog,Melon Diesel
8626,,Ólöf Arnalds,Amiina,Sóley
8627,,Charlie Parker Quintet,Charlie Parker Quartet,Dizzy Gillespie
8628,1994 – present (28 years),Hilmar Örn Hilmarsson & Sigur Rós,Steindór Andersen,Slowblow
8629,1989 – present (33 years),Chancho En Piedra,Los Bunkers,Los Prisioneros
8630,2005 – 2010 (5 years),Good Shoes,The Maccabees,The Rakes
8631,,Sigur Rós & Steindór Andersen,Sigur Rós / Steindór Andersen,Hilmar Örn Hilmarsson & Sigur Rós
8632,26 January 1963 (age 59),Sattar,Shahrokh,Morteza
8633,25 September 1932,András Schiff,Trevor Pinnock,Vladimir Horowitz
8634,21 February 1986 (age 36),Katherine Jenkins,Hayley Westenra,Il Divo
8635,26 February 1982 (age 40),Sophie Milman,Karrin Allyson,Eliane Elias
8636,1953 (age 69),Vin Garbutt,David Ferrard,Kieran Halpin
8637,15 June 1975 (age 47),Roberta Gambarini,Kandace Springs,Chantal Chamberland
8638,10 April 1987 (age 35),Katherine Jenkins,Celtic Woman,Charlotte Church
8639,27 August 1955 (age 67),Emilie-Claire Barlow,Chantal Chamberland,Jane Monheit
8640,,OperaBabes,Lesley Garrett,Natasha Marsh
8641,6 January 1920,Maurizio Pollini,Martha Argerich,Sviatoslav Richter
8642,18 September 1903,Martha Argerich,Claudio Arrau,Maria João Pires
8643,1995 – present (27 years),Kevin Kern,David Arkenstone,Bernward Koch
8644,1999 – present (23 years),Era,Achillea,Mythos
8645,29 October 1972 (age 50),Cristina Donà,Marina Rei,Amalia Grè
8646,28 June 1963 (age 59),Sophie Milman,Karrin Allyson,Jane Monheit
8647,19 June 1966 (age 56),Rebekka Bakken,Stacey Kent,Nils Landgren
8648,14 February 1974 (age 48),OperaBabes,Giorgia Fumanti,Amici Forever
8649,20 March 1915,Emil Gilels,Arturo Benedetti Michelangeli,Vladimir Horowitz
8650,10 April 1955 (age 67),Izzy,Natasha Marsh,Amici Forever
8651,28 July 1954 (age 68),Jacintha,Stacey Kent,Jane Monheit
8652,4 March 1943,Francesco De Gregori,Lucio Battisti,Rino Gaetano
8653,,"Matthew ""Mdot"" Finley/Meaghan Martin",Alyson Stoner/Demi Lovato/Joe Jonas/Nick Jonas,Camp Rock 2 Cast
8654,1995 – present (27 years),Sambassadeur,The Legends,Acid House Kings
8655,1985 – present (37 years),Karen Peris,Over the Rhine,The Sundays
8656,1989 – 2001 (12 years),Sun Kil Moon,Mark Kozelek,Carissa's Wierd
8657,1991 – 1998 (7 years),Brighter,Trembling Blue Stars,The Field Mice
8658,,Shuta Hasunuma,Rei Harakami,No.9
8659,2001 – present (21 years),Twig,Strawberry Fair,The Electric Pop Group
8660,,From The Sky,NorthVia,Johnny Poindexter
8661,2004 – present (18 years),Ivy,Club 8,Sambassadeur
8662,1997 – 2007 (10 years),Armor for Sleep,Taking Back Sunday,Senses Fail
8663,,National Product,She Can’t Breathe,City Sleeps
8664,,John Kander,Nicole Kidman and Ewan McGregor,Grease
8665,2007 – present (15 years),Scar Symmetry,Miseration,Disarmonia Mundi
8666,2004 – present (18 years),Symbol of obscurity,Deviant Syndrome,Incarnia
8667,18 April 1980 (age 42),Sokół,PRO8L3M,Małpa
8668,2004 – present (18 years),There for Tomorrow,Lostprophets,Elliot Minor
8669,18 April 1980 (age 42),Grammatik,Pezet,Eldo
8670,,Buka ft. Dj Bambus,SumaStyli,Skor
8671,,Jamal,Vavamuffin,GrubSon
8672,,Kalwi & Remi,Pakito,East Clubbers
8673,,DJ Magic,Forseco,Helene Rask
8674,1999 – present (23 years),Groovebusterz,Max Farenthide,DJ Magic
8675,,Kevin Federline,Britney Spears vs. Hilary Duff,Double Nation
8676,,DJ Remo Feat. Queen Of The Night,Forseco,Max Farenthide pres. Disco Superstars
8677,,Casteam,Alchemist Project,DJ Magic
8678,,Master Blaster,Baracuda,Alex Megane
8679,,Roy Gates,Casteam,Alchemist Project
8680,30 May 1981 (age 41),Gromee,Ofenbach,Shaun Baker
8681,,DJ Project,Voltaj,Akcent
8682,,Anthony Moon,Max Farenthide pres. Disco Superstars,Groovebusterz
8683,7 April 1967 (age 55),Alex C. Feat. Y-Ass,Bangbros,Paffendorf vs. The Real Booty Babes
8684,,Pitcher,Sound Posse,Partycheckerz
8685,,East Clubbers,Lazard,DJ Dean
8686,,美少女戦士セーラームーンＲ,美少女戦士セーラームーン,Moonlight Symphony Orchestra
8687,,Bisyouzyo sensi Sailormoon,美少女戦士セーラームーン,Sailormoon R Movie
8688,1995 – present (27 years),Polkadot Cadaver,Tub Ring,Fantômas
8689,,Circus of Dead Squirrels,Rikets,3 Quarters Dead
8690,2007 – present (15 years),Dog Fashion Disco,Tub Ring,Stolen Babies
8691,1995 – present (27 years),Dry Kill Logic,Spineshank,Flaw
8692,,Das Muster,Alessandro Parisi,WC Olo Garb [www.wcologarb.prv.pl]
8693,2007 – present (15 years),(216),Hatrix,Scelestus
8694,1996 – present (26 years),Bloodhound Gang,Biting Elbows,Royal Republic
8695,2004 – present (18 years),El-Creepo!,Ideamen,Knives Out!
8696,,Professional Murder Music,Mushroomhead,Dope
8697,,Ideamen,The Alter Boys,Duct Tape Mustache
8698,5 May 1963 (age 59),Ventana,Breaking In A Sequence,Blue Felix
8699,2010 – present (12 years),Nine Inch Nails,Trent Reznor and Atticus Ross,Puscifer
8700,,Korn,Love and Death,Emil Bulls
8701,,N-616,EVM Project,Lie Collectors
8702,,Hypnotic Implant,Pulsipher,Brock Van Wey
8703,17 May 1965 (age 57),Trent Reznor and Atticus Ross,Atticus Ross,Nine Inch Nails
8704,,Forge of Clouds,Rosk,Fleshworld
8705,1985 – 1990 (5 years),Judge,Gorilla Biscuits,Chain of Strength
8706,2005 – present (17 years),Fireworks,Real Friends,Knuckle Puck
8707,2002 – present (20 years),Kid Dynamite,Shook Ones,Lifetime
8708,12 August 1972 (age 50),Hieroglyphics,Souls of Mischief,Deltron 3030
8709,1992 – 2001 (9 years),Strife,Snapcase,Integrity
8710,2006 – present (16 years),Backtrack,Rotting Out,Expire
8711,2005 – present (17 years),War Hungry,Bad Seed,Swamp Thing
8712,2004 – present (18 years),Chumped,The Ergs!,All Dogs
8713,1986 – present (36 years),The Queers,Riverdales,The Mr. T Experience
8714,1961 – 1981 (20 years),Eddie Floyd,Wilson Pickett,Rufus Thomas
8715,"California, United States",Guns Up!,Down to Nothing,Floorpunch
8716,1980 – 1983 (2 years),Black Flag,Circle Jerks,Bad Brains
8717,2000 – present (22 years),Walls of Jericho,Sick of It All,Terror
8718,,Righteous Jams,The Mongoloids,Internal Affairs
8719,,Trapped Under Ice,Angel Du$t,Drug Church
8720,2000 – present (22 years),Sleeping Pulse,Antimatter,Blackfield
8721,1994 – present (28 years),Empyrium,Draconian,Saturnus
8722,7 August 2004 (aged None),Ahmad Shamlou,Keyvan Saket,Ahmad Pejman
8723,2 February 1951 (age 71),Ebi,Hayedeh,Dariush
8724,,Yodelice,Champs,Zazie
8725,2001 – present (21 years),Mohsen Namjoo,Kiosk,Ali Azimi
8726,,Ahmad Shamlou,Dang Show,Soheil Nafisi
8727,2007 – 2013 (6 years),Ich + Ich,Mathea,Lafee
8728,31 December 1950,Hooman Rad,Karen Homayounfar,Javad Maroufi
8729,1956 (age 66),Fernando Velázquez,Abel Korzeniowski,Jan A.P. Kaczmarek
8730,24 April 1963,La Tordue,Têtes Raides,La Rue Kétanou
8731,,Kaveh Yaghmaei,Abdi Behravanfar,Sarakhs
8732,17 January 1980 (age 42),Anna Kendrick,Jim Cummings,Reese Witherspoon
8733,"Berlin, Germany",Jessie Frye,Timecop1983,Robert Parker
8734,,,,
8735,,Lexa,Anitta,Maria
8736,14 September 1973 (age 49),Diddy Featuring Christina Aguilera,Nas featuring Snoop Dogg,Nas featuring Kanye West
8737,10 March 1972 (age 50),Keri Hilson,will.i.am,Justin Timberlake
8738,,,,
8739,,,,
8740,20 October 1971 (age 51),Dr. Dre,Tha Dogg Pound,Ice Cube
8741,,,,
8742,4 March 1944,Curtis Mayfield,The O'Jays,The Isley Brothers
8743,15 February 1951 (age 71),Debby Boone,Mary MacGregor,Anne Murray
8744,14 March 1966 (age 56),José James,Gregory Porter,Al Jarreau
8745,,,,
8746,,Chaka Khan,Slave,Ohio Players
8747,,,,
8748,25 February 1956 (age 66),Marshall Wilborn feat. Tom Adams and Lynn Morris,Sally Van Meter,Valerie Smith
8749,,Timbaland Featuring Keri Hilson & D.O.E.,"Timbaland featuring Missy Elliot, Justin Timberlake & Dr. Dre",Timbaland featuring 50 Cent & Tony Yayo
8750,18 February 1952 (age 70),Oleta Adams,Al Jarreau,Patti Austin
8751,1975 – 2015 (40 years),Chic,"Earth, Wind & Fire",The O'Jays
8752,,Gary Mulligan,Frank Sinatra & Duke Ellington,Louis Prima & His Band
8753,2002 – present (20 years),The Amazing Pilots,Arizona,Bottomside
8754,,John K. Almeida,The Hawaiians,The Kahalas
8755,,Prince,Prince and the New Power Generation,The Time
8756,,Prince,Prince & The Revolution,Prince & 3rdEyeGirl
8757,19 April 1933,Mamie Van Doren,Diana Dors,Mae West
8758,1988 – present (34 years),Brian McKnight,All-4-One,112
8759,,New Edition,Guy,Johnny Gill
8760,1974 – present (48 years),Slave,The Gap Band,Midnight Star
8761,1979 – present (43 years),Night Ranger,.38 Special,Billy Squier
8762,,Duran Duran,Night Ranger,The Power Station
8763,1985 – 1989 (4 years),Kids in the Kitchen,Machinations,Uncanny X-Men
8764,11 July 1962 (age 60),Mayte,Apollonia 6,Mazarati
8765,1964 – present (58 years),Chic,"Earth, Wind & Fire",KC and The Sunshine Band
8766,2003 – present (19 years),Снег-Снег,Дежавю,One Pleasant Moment
8767,,Hujaboy,Oforia,Fatali
8768,,ZeRo_BaSs,KR1Z,Shinrog
8769,3 October 1980 (age 42),Capsule,Aira Mitsuki,Perfume
8770,,RasKar,Prophet P,Марлины
8771,,HouseMasta,Chronamut,C-Storm
8772,,Свиньи В Космосе,Devil Shoots Devil,Проверочная Линейка
8773,,Lavanda,Bar De Aux,Neonavt
8774,"Nantes, Loire-Atlantique, Pays-de-la-Loire, France",College,Lifelike,FM Attack
8775,5 October 1981 (age 41),Justice,Busy P,Sebastian
8776,,The Presets,Grafton Primary,Art vs. Science
8777,2 May 1986 (age 36),Cubicolor,Eli & Fur,Lane 8
8778,,Kissy Sell Out,Boy Crisis,Kish Mauve
8779,,Bodies of Water,Tilly and the Wall,Saint Etienne
8780,29 August 1957 (age 65),Yoko Takahashi,高橋洋子,Loren & Mash
8781,17 September 1980 (age 42),Brigita Šuler,Domen Kumer,Saša Lendero
8782,,Anelia,Emanuela,Desi Slava
8783,10 April 1947 (age 75),Irena Jarocka,Urszula Sipińska,Irena Santor
8784,18 August 1946,Halina Frąckowiak,Irena Santor,Halina Kunicka
8785,,Natalia Lesz,Candy Girl,Sasha Strunin
8786,,Chłopacy,Candy Girl,Paulla
8787,,Krystyna Giżowska,Krzysztof Antkowiak,Monika Borys
8788,29 March 1972 (age 50),Charlotte Perrelli,DoReDoS,Anna Bergendahl
8789,,DJ Remo,Mallancia,Rimini Project
8790,24 June 1947 (age 75),Václav Neckář,Michal David,Karel Gott
8791,7 August 1947 (age 75),Philipp Kirkorov,Igor Nikolayev,Tatiana Bulanova
8792,,Halina Kunicka,Irena Jarocka,Irena Santor
8793,,Natalia Lesz,MaRina Łuczenko,Paulla
8794,30 January 1979 (age 43),Iwona Węgrowska,Sasha Strunin,Sylwia Grzeszczak & Liber
8795,1987 – 2001 (14 years),Gravitonas,BWO,E-Type
8796,1 June 1993 (age 29),Guri Schanke,Elitsa Todorova and Stoyan Yankoukov,Anžej Dežan
8797,,N-Trance,Jan Wayne,2 Unlimited
8798,2007 – present (15 years),Valentina Monetta,Mariya Yaremchuk,Ott Lepland
8799,9 October 1947,Michel Berger,Daniel Balavoine,Jean-Jacques Goldman
8800,,Zoli Ádok,Straight Up!,Fabrizio Faniello
8801,25 June 1984 (age 38),Pay TV,Manric,Atmosphere Italy
8802,19 November 1954 (age 68),Urszula Sipińska,Irena Jarocka,Andrzej Rybiński
8803,,Gosia Andrzejewicz,Iwona Węgrowska,Paulla
8804,1983 – present (39 years),Arabesque,Ottawan,Amanda Lear
8805,8 September 1946,Zbigniew Wodecki,Ryszard Rynkowski,Lady Pank
8806,20 August 1987 (age 35),Kristina,Adam Ďurica,Mária Čírová
8807,8 December 1945 (age 77),Anna Jantar,Krzysztof Krawczyk,Urszula
8808,1998 – present (24 years),Al Andaluz Project,Stille Volk,Le' rue Delashay
8809,1946 (age 76),Nihat Işıklar,Ersen ve Dadaşlar,5 adim
8810,2001 – present (21 years),Vas,Daemonia Nymphe,Arcana
8811,,Aman Aman,L'Ham de Foc,Al Andaluz Project
8812,2006 – present (16 years),Kırıka,Kardeş Türküler,İncesaz
8813,,Nukleuz Kollective,Stu Allan,Impact & Resist
8814,,Periklis Papapetropoulos & Amin Ala Gabou,Arasinda,Ceylan Ertem
8815,27 September 1972,Cesária Évora,Hindi Zahra,Lhasa
8816,,Felipecha,Sabir,Erin Drews
8817,,Seyyan Hanım,DANdadaDAN,Şecaattin Tanyerli
8818,,Grup Abdal,Mehmet Celal,Dil Tengi
8819,1983 – present (39 years),Epifani Barbers,khaossia Ethno Ensemble Salentina,Khaossia
8820,,Houria Aïchi,Rima Khcheich,Karima Nayt
8821,10 November 1946,Erkin Koray,Ezginin Günlüğü,Cem Karaca
8822,,Diwan Saz,Senem Diyici,Brenna MacCrimmon
8823,19 December 1969 (age 52),Hiromi,Vaqif Mustafazadə,Tigran Hamasyan
8824,3 March 1978 (age 44),Birsen Tezer,Mircan Kaya,Tri A Tolia
8825,,Steph Stewart & the Boyfriends,Tre Burt and a Big Gust of Wind,Rin Tin Tiger
8826,20 April 1975 (age 47),Feyza Erenmemiş,Selen Gülün,Jülide Özçelik
8827,"Kairouan, Kairouan, Tunisia",Khaled & Cheb Mami,Raïna Raï,Takfarinas
8828,,Birsen Tezer,Işığın Yansıması,Akın Eldes
8829,2007 – present (15 years),Brenna MacCrimmon,Orient Expressions,Olimpia Starlights
8830,2001 – present (21 years),Haggard,Epica,Estatic Fear
8831,23 April 1986 (age 36),Hadass Pal-Yarden,Isaac Levy,Janet & Jak Esim
8832,,Handgjort,Hoven Droven,Räfven
8833,,Kara Güneş,Cahit Oben,Bandista
8834,,HOBOUD,Matragona,Chudoba
